Name,MLBAMID
Zack Littell,641793
Drew Rasmussen,656876
Shane Baz,669358
Taj Bradley,671737
Ryan Pepiot,686752
Mason Montgomery,682254
Edwin Uceta,670955
Kevin Kelly,687330
Tyler Alexander,641302
Hunter Bigge,685801
Cole Sulser,642121
Richard Lovelady,663992
Colin Poche,621363
Manuel Rodríguez,655889
Jeffrey Springs,605488
Garrett Cleavinger,664076
