Name,MLBAMID
Junior Caminero,691406
Josh Lowe,666139
Brandon Lowe,664040
Jonathan Aranda,666018
Yandy Díaz,650490
Christopher Morel,666624
Jonny DeLuca,676356
José Caballero,676609
Taylor Walls,670764
Jose Siri,642350
Ben Rortvedt,666163
Dylan Carlson,666185
Logan Driscoll,686482
Richie Palacios,680700
